"Kinase.Gene","aveSubstrateLog2FC","mS","Enrichment","m","z.score","p.value","p.adjust","status","Substrate.Gene","Substrate.Mod","Source","log2FC"
"1","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","AKT1","S126","NetworKIN",-0.00923000000000034
"2","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","PIK3R1","S154","NetworKIN",-0.123466666666667
"3","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","PDPK1","S241","NetworKIN",-0.0350896666666671
"4","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","RPS6","S242","NetworKIN",1.61213333333333
"5","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","EIF4B","S359","NetworKIN",-0.22758
"6","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","EIF4B","S406","NetworKIN",0.439460000000005
"7","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","EIF4B","S442","NetworKIN",-0.0445666666666639
"8","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","EEF2K","S445","NetworKIN",0.516500000000003
"9","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","PDCD4","S457","NetworKIN",0.402896333333333
"10","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","EIF4B","S497","NetworKIN",0.907300000000002
"11","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","PDCD4","S71","NetworKIN",0.711314444444445
"12","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","PDCD4","S76","NetworKIN",1.92953833333333
"13","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","EIF4EBP1","T68","NetworKIN",1.45084
"14","RPS6KB1",0.797956968888889,0.797956968888889,1017.36371875721,25,12.7961793836832,8.61089567026609e-38,2.02356048251253e-35,"Up","CAD","S1859","PhosphoSitePlus",0.64275333333333
